# $Id: LIM-ASON-Rules.csv,v 1.3 2003/04/15 22:50:31 as5472 Exp $,,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,ASON Error Text,LIM Error,Exception Type
SM-SystemFailure-00237,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00238,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00247,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00248,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00249,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00250,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00251,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00383,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00384,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00385,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00386,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00387,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00388,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00624,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SM Communication failure with the CP01 Corba service.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00682,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00685,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00211,null,LIM-SystemFailure-00738,SmClient Context Factory SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Context Factory SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00212,null,LIM-SystemFailure-00738,SmClient Naming SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Naming SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00216,null,LIM-SystemFailure-00738,SmClient Remote SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Remote SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00217,null,LIM-SystemFailure-00738,SmClient Create SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Create SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-99999,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
#Default,,,,,,,,,
null,null,LIM-SystemFailure-00651,Host System Exception Not Defined in ASON Rules File.,ASON,1,0,Unexpected error code - Internal error.,ERR_LIM_ASONSERVICE,System Failure
